PSFType,Param1Name,Param1Value,Param2Name,Param2Value,NSR,LapVar,Tenengrad,HighFreqRatio,Mean,Std,Entropy,SaturationRatio,ClipRatio,LapGain,TenengradGain,HighFreqGain,NoiseGain,Score
motion,LEN,5,THETA,35,0.1,0.0111283147379708,0.16200561746937,0.00502348488804925,0.44564257383414,0.142484018164532,7.09693954764165,0.000298353909465021,0.000113168724279835,1.33594183154751,1.30713734371796,1.45326968125001,1.15871604755494,0.762524907761607
motion,LEN,5,THETA,25,0.1,0.0113786055717688,0.162916474700885,0.00510995783557029,0.445630558543791,0.142699100848095,7.10347562280255,0.000462962962962963,0.000246913580246914,1.36598896831502,1.3144865672863,1.47828588328529,1.17073537421784,0.755334773014504
motion,LEN,5,THETA,-15,0.1,0.010674125998294,0.163896330504978,0.00485192154892555,0.445626911164962,0.142728690646409,7.10601273866149,0.00051440329218107,0.000205761316872428,1.28141697751174,1.32239250371613,1.40363724386463,1.1570773725325,0.755257902831935
motion,LEN,5,THETA,30,0.1,0.011082890350861,0.1608082161946,0.00499206769186619,0.445637799949363,0.14242014088464,7.09891819592142,0.000380658436213992,0.000174897119341564,1.33048868429734,1.29747614834636,1.44418083959919,1.15614542203543,0.754750994533631
motion,LEN,5,THETA,40,0.1,0.0114266177537554,0.164948359739468,0.00521809435278385,0.445646146224803,0.142689124679844,7.09779158801163,0.000298353909465021,0.000113168724279835,1.37175277746762,1.33088076925016,1.50956925039093,1.17220263906259,0.750525138086064
motion,LEN,5,THETA,-20,0.1,0.0103263296755373,0.160963380133111,0.00453208146770793,0.44562865636165,0.142512827326066,7.10662577497128,0.000504115226337449,0.000133744855967078,1.2396644150286,1.29872808381376,1.31110906805825,1.13028570750973,0.733083566271543
motion,LEN,5,THETA,45,0.1,0.0115453874770586,0.166217493006225,0.00538597578173742,0.44564702012145,0.142737644880241,7.10033055188944,0.000360082304526749,0.000113168724279835,1.3860109509124,1.34112073199372,1.5581365291188,1.17941704803557,0.720817715046023
motion,LEN,5,THETA,10,0.1,0.0110728013536131,0.164007414076763,0.00523704148374297,0.445624996276083,0.142773424735693,7.10433120857715,0.000524691358024691,0.000236625514403292,1.32927751137681,1.32328877809983,1.51505056298232,1.17728429768715,0.71180050718377
motion,LEN,5,THETA,-5,0.1,0.0108200060585119,0.161115704083269,0.00504581352731725,0.44561759379156,0.142518529528451,7.10521918911424,0.000545267489711934,0.000308641975308642,1.29892971680988,1.29995710492243,1.45972924770535,1.16057791970893,0.708228780948247
motion,LEN,5,THETA,-10,0.1,0.0103715850335342,0.163570115684399,0.00491436571514983,0.445623959190874,0.142633553444562,7.10497688801697,0.000483539094650206,0.000246913580246914,1.24509727052139,1.3197604494657,1.42170203664634,1.15307427986134,0.705330231412964
motion,LEN,5,THETA,5,0.1,0.0109403570277081,0.160656344960586,0.00511253942497136,0.445617926986761,0.142515043511101,7.10416528772997,0.000606995884773663,0.000267489711934156,1.31337771706888,1.29625077996398,1.47903272450999,1.16349996532903,0.704032096856928
motion,LEN,5,THETA,20,0.1,0.012002465852725,0.165543939008494,0.00538766444690319,0.44562885944368,0.143006099071759,7.10535983890478,0.000483539094650206,0.000236625514403292,1.44088270254116,1.33568618227132,1.55862505171653,1.19999431866266,0.69778821074213
motion,LEN,7,THETA,45,0.1,0.0101928719255101,0.161838933554517,0.00482591783800835,0.445615669855106,0.143390595142311,7.12783854637245,0.00103909465020576,0.000483539094650206,1.22364296027974,1.30579245967564,1.39611449710255,1.12141275904136,0.684849295692803
motion,LEN,5,THETA,15,0.1,0.0119630462426217,0.166209203518805,0.00547322489473119,0.445628354079815,0.143058134656586,7.10532749276003,0.00051440329218107,0.000174897119341564,1.43615042210515,1.34105384851933,1.5833772720404,1.2057907377344,0.681945930517442
motion,LEN,5,THETA,50,0.1,0.0101444689451387,0.161831120542928,0.00486935592000834,0.445652031622502,0.142206866235242,7.09458666954743,0.000329218106995885,7.20164609053498e-05,1.21783223621484,1.30572942063184,1.40868092240073,1.12487072892883,0.677792593081122
motion,LEN,5,THETA,0,0.1,0.0117465250185356,0.159370597064009,0.00532187789852194,0.445611802740175,0.142560309019188,7.10623357996496,0.000699588477366255,0.000318930041152263,1.41015728949833,1.28587676259053,1.53959332407583,1.18040051463182,0.675567627857711
motion,LEN,5,THETA,-30,0.1,0.0100789520369529,0.156182189963847,0.0043077445394285,0.445636274439492,0.142059933862148,7.10389953020479,0.000390946502057613,8.23045267489712e-05,1.20996700411276,1.26015119792988,1.24620948867884,1.10747652325614,0.666132927604368
motion,LEN,5,THETA,-25,0.1,0.0099343330827886,0.157742275992702,0.004293974680589,0.445630490995971,0.14222937254999,7.10669803749216,0.00044238683127572,0.000174897119341564,1.19260565919649,1.27273870408913,1.24222593566484,1.10520894440992,0.659186534960062
motion,LEN,7,THETA,25,0.1,0.0100408335669648,0.160595640074963,0.00485976222119781,0.445595411306867,0.143816796123292,7.1314966622093,0.00109053497942387,0.000534979423868313,1.20539092410328,1.29576098446069,1.40590551211821,1.11758378013289,0.648654155352609
